Orthogroup	Duplications (all)	Duplications (50% support)
OG0000690	0	0
OG0000691	0	0
OG0000692	0	0
OG0000693	0	0
OG0000694	0	0
OG0000695	0	0
OG0000696	0	0
OG0000697	0	0
OG0000698	0	0
OG0000699	0	0
OG0000700	0	0
OG0000701	0	0
OG0000702	0	0
OG0000703	0	0
OG0000704	0	0
OG0000705	0	0
OG0000706	0	0
OG0000707	0	0
OG0000708	0	0
OG0000709	0	0
OG0000710	1	1
OG0000711	0	0
OG0000712	0	0
OG0000713	0	0
OG0000714	0	0
OG0000715	0	0
OG0000716	0	0
OG0000717	0	0
OG0000718	0	0
OG0000719	0	0
OG0000720	0	0
OG0000721	0	0
OG0000722	0	0
OG0000723	0	0
OG0000724	0	0
OG0000725	0	0
OG0000726	0	0
OG0000727	0	0
OG0000728	0	0
OG0000729	0	0
OG0000730	0	0
OG0000731	0	0
OG0000732	0	0
OG0000733	0	0
OG0000734	0	0
OG0000735	0	0
OG0000736	0	0
OG0000737	0	0
OG0000738	0	0
OG0000739	0	0
OG0000740	0	0
OG0000741	0	0
OG0000742	0	0
OG0000743	0	0
OG0000744	0	0
OG0000745	0	0
OG0000746	0	0
OG0000747	0	0
OG0000748	0	0
OG0000749	0	0
OG0000750	0	0
OG0000751	0	0
OG0000752	0	0
OG0000753	0	0
OG0000754	0	0
OG0000755	0	0
OG0000756	0	0
OG0000757	0	0
OG0000758	0	0
OG0000759	0	0
OG0000760	0	0
OG0000761	0	0
OG0000762	0	0
OG0000763	0	0
OG0000764	0	0
OG0000765	0	0
OG0000766	0	0
OG0000767	0	0
OG0000768	0	0
OG0000769	0	0
OG0000770	0	0
OG0000771	0	0
OG0000772	0	0
OG0000773	0	0
OG0000774	0	0
OG0000775	0	0
OG0000776	0	0
OG0000777	0	0
OG0000778	0	0
OG0000779	0	0
OG0000780	0	0
OG0000781	0	0
OG0000782	0	0
OG0000783	0	0
OG0000784	0	0
OG0000785	0	0
OG0000786	0	0
OG0000787	0	0
OG0000788	0	0
OG0000789	0	0
OG0000790	0	0
OG0000791	0	0
OG0000792	0	0
OG0000793	0	0
OG0000794	0	0
OG0000795	0	0
OG0000796	0	0
OG0000797	0	0
OG0000798	0	0
OG0000799	0	0
OG0000800	0	0
OG0000801	0	0
OG0000802	0	0
OG0000803	0	0
OG0000804	0	0
OG0000805	0	0
OG0000806	0	0
OG0000807	0	0
OG0000808	0	0
OG0000809	0	0
OG0000810	0	0
OG0000811	0	0
OG0000812	0	0
OG0000813	0	0
OG0000814	0	0
OG0000815	0	0
OG0000816	0	0
OG0000817	0	0
OG0000818	0	0
OG0000819	0	0
OG0000820	0	0
OG0000821	0	0
OG0000822	0	0
OG0000823	0	0
OG0000824	0	0
OG0000825	0	0
OG0000826	0	0
OG0000827	0	0
OG0000828	0	0
